timestamp_gpst,truth_gpst,time_offset_s,elapsed_s,solution_lon_deg,solution_lat_deg,solution_height_m,solution_roll_deg,solution_pitch_deg,solution_yaw_deg,truth_lon_deg,truth_lat_deg,truth_height_m,truth_heading_deg,truth_pitch_deg,truth_roll_deg,solution_east_m,solution_north_m,solution_up_m,truth_east_m,truth_north_m,truth_up_m,east_error_m,north_error_m,up_error_m,horizontal_error_m,translation_error_m,roll_error_deg,pitch_error_deg,yaw_error_deg,attitude_error_deg,velocity_east_error_mps,velocity_north_error_mps,velocity_up_error_mps,velocity_horizontal_error_mps,velocity_3d_error_mps,solution_status,num_satellites,differential_age_s,std_east_m,std_north_m,std_up_m,std_roll_deg,std_pitch_deg,std_yaw_deg,std_velocity_east_mps,std_velocity_north_mps,std_velocity_up_mps
121114.27397,121114.27397,0,121.643580675,121.440100873,31.0295904691,16.4336237814,-0.565489713358,1.51404356936,-68.4418430662,121.440097648,31.0295894594,16.489,67.9980547095,-0.362728105347,-178.751344856,-319.901876009,-104.488534724,-0.752376218572,-320.20970085,-104.600482967,-0.697,0.307827840814,0.111948213952,-0.0553762185723,0.327552106065,0.332200102003,178.185855142,1.87677167471,-136.439897776,224.431653181,0.00837304141826,-0.00229162304727,0.0145628856687,0.00868097683343,0.016953967022,float,34,0,0,0,0,0,0,0,0,0,0
121114.374005,121114.374005,0,121.743615866,121.440110923,31.0295938187,16.4398514992,-0.376546044229,1.43865947264,-68.4546546482,121.440107768,31.0295928067,16.4924005079,68.0118102842,-0.24390718313,-178.793429784,-318.94229479,-104.117167194,-0.746148500837,-319.243573922,-104.229362571,-0.693599492073,0.301282058034,0.112195348411,-0.0525490087644,0.321494439607,0.325760760406,178.41688374,1.68256665577,-136.466464932,224.629720841,-0.00153197745381,0.0208477886385,-0.000905982578008,0.0209040007184,0.0209236242192,float,35,0,0,0,0,0,0,0,0,0,0
121114.474039,121114.474039,0,121.843649864,121.440121057,31.0295971272,16.4438123554,-0.481162946587,1.47099492128,-68.4471764774,121.440117916,31.0295961453,16.501,67.9986390879,-0.380401690343,-178.746482858,-317.97478631,-103.7503476,-0.742187644601,-318.27464801,-103.859209928,-0.685,0.299864602777,0.1088623007,-0.0571876446009,0.319013762261,0.32409907005,178.265319912,1.85139661162,-136.445815565,224.498134821,0.00338635046674,0.00897550413836,0.0304910103713,0.00959307271011,0.0319644921356,float,34,0,0,0,0,0,0,0,0,0,0
121114.574074,121114.574074,0,121.943685055,121.440131272,31.0296004398,16.4546307344,-0.698396758876,1.58366585396,-68.4169462763,121.440128072,31.0295994578,16.5084074268,67.9644187287,-0.569712078092,-178.637156898,-316.99954345,-103.38308449,-0.731369265601,-317.304998679,-103.491951686,-0.677592573166,0.305458175513,0.108867167868,-0.0537766924347,0.324278826362,0.328707605443,177.938760139,2.15337793205,-136.381365005,224.202399891,0.0165751484991,0.00699650487705,0.017329181904,0.0179912931236,0.0249797352613,float,34,0,0,0,0,0,0,0,0,0,0
121114.674109,121114.674109,0,122.043719292,121.4401414,31.0296037823,16.4652733272,-0.797713289541,1.68984619623,-68.4163700918,121.440138179,31.0296027608,16.512,67.9545423618,-0.631920441432,-178.548017579,-316.032587043,-103.01250026,-0.720726672806,-316.340103619,-103.125750296,-0.674,0.307519532169,0.113250007752,-0.0467266728058,0.327709973789,0.331024483796,177.75030429,2.32176663767,-136.370912454,224.048180173,0.0186754705818,0.00442380973222,0.0289563133744,0.0191922717258,0.0347391908114,fixed,34,0,0,0,0,0,0,0,0,0,0
121114.774143,121114.774143,0,122.143754244,121.440151411,31.0296070911,16.4648657776,-0.724608268796,1.64318873861,-68.4115930835,121.440148207,31.0296060862,16.512,67.9584129064,-0.554186056684,-178.614392937,-315.076738429,-102.645645062,-0.721134222358,-315.382637887,-102.75706323,-0.674,0.305902387405,0.111418140018,-0.0471342223585,0.325561472759,0.328955783446,177.889784668,2.19737479529,-136.37000599,224.157048694,0.00868489354904,-0.0221239702589,0.0125977452944,0.0237675710996,0.0268998256961,float,34,0,0,0,0,0,0,0,0,0,0
121114.874179,121114.874179,0,122.243789434,121.440161346,31.0296104446,16.4677363327,-0.607136558026,1.46466330301,-68.4283858713,121.440158193,31.0296094287,16.5144178648,67.9747142249,-0.449850227039,-178.803238544,-314.128233597,-102.273843244,-0.718263667323,-314.429240297,-102.386476166,-0.6715821352,0.301009572081,0.112632893886,-0.0466815321223,0.321392176739,0.324764678976,178.196101986,1.91451353005,-136.403100096,224.417739586,-0.00111813191807,0.00439808374534,-0.00433163255718,0.00453799070264,0.00627346795861,float,34,0,0,0,0,0,0,0,0,0,0
121114.974213,121114.974213,0,122.343823433,121.44017129,31.0296137987,16.4760961309,-0.51448583449,1.30311687119,-68.4492009718,121.440168162,31.0296127601,16.5184212646,67.9914836322,-0.342746482284,-178.942018344,-313.178850365,-101.901976823,-0.709903869092,-313.477514464,-102.017129357,-0.667578735351,0.298666939504,0.115152505296,-0.042325133741,0.320096923179,0.322883039466,178.42753251,1.64586335348,-136.440684604,224.622246536,-0.00894359240189,0.00635408731214,-0.00584283641699,0.0109709740051,0.012429843443,float,34,0,0,0,0,0,0,0,0,0,0
121115.074248,121115.074248,0,122.443858624,121.440181327,31.0296171134,16.4849498402,-0.507582278498,1.19480447152,-68.4832904724,121.440178139,31.0296160791,16.525,68.0198796849,-0.331631945005,-179.009702716,-312.220589984,-101.534473467,-0.701050159767,-312.524914989,-101.649149454,-0.661,0.304327888099,0.114675958507,-0.0400501597673,0.32521691059,0.327673700854,178.502120437,1.52643641653,-136.503170157,224.718607311,0.00708219615415,-0.00090868530089,0.0240528212876,0.00714025289062,0.0250902655075,fixed,34,0,0,0,0,0,0,0,0,0,0
121115.174282,121115.174282,0,122.54389286,121.440191332,31.0296203843,16.4892018447,-0.580093625211,1.15115771035,-68.4899191827,121.440188133,31.029619388,16.531,68.0192498858,-0.424325928722,-179.05613603,-311.265335296,-101.171825699,-0.69679815533,-311.57074672,-101.282288471,-0.655,0.305414307725,0.110462744683,-0.0417981553301,0.324776719187,0.327455345223,178.476042404,1.57548363908,-136.509169069,224.701876051,-0.00991328484232,0.00537930914731,0.013629353312,0.0112787491889,0.0176909427384,float,34,0,0,0,0,0,0,0,0,0,0
