utc_tow,elapsed,solution_lon,solution_lat,solution_height,truth_lon,truth_lat,truth_height,solution_east_m,solution_north_m,solution_up_m,truth_east_m,truth_north_m,truth_up_m,ape_translation_m,ape_horizontal_m,attitude_error_deg,east_error_m,north_error_m,up_error_m,horizontal_error_m,spatial_error_m,fix_quality,satellites
120995.231396,2.60100674629,121.443384479,31.0306008779,17.1765143964,121.4433844487906,31.030600834051913,17.149847207680622,-6.265334310784403,7.246982352392468,0.06059596174526405,-6.268218526878845,7.242120902320258,0.033928773025884595,0.027259701813195175,0.005652644403225579,0.814507863564082,0.002884214141385403,0.004861450147430284,0.026667188719379453,0.005652644403225579,0.027259701813195175,float,36.0
120995.331434,2.70104503632,121.443380781,31.030602383,17.1665133657,121.44338072431198,31.030602323366235,17.15093190675854,-6.618397432318198,7.413853222772355,0.050594931045260694,-6.623809668301448,7.4072416100230765,0.03501347210380246,0.017770412067384056,0.008544336270318484,0.8680739624694874,0.005412232235039247,0.006611612854234741,0.015581458941458237,0.008544336270318484,0.017770412067384056,fixed,35.0
120995.431473,2.80108428001,121.443376974,31.0306037689,17.1619997602,121.44337688658452,31.030603709999067,17.1519032097941,-6.981867225398197,7.567508354672897,0.046081325545262786,-6.990213137699498,7.560977991174589,0.0359847751393616,0.014636944099470932,0.010597160113546156,0.8118820020258926,0.008345906401748166,0.006530363604378591,0.010096550405901183,0.010597160113546156,0.014636944099470932,fixed,35.0
120995.531512,2.90112233162,121.443373077,31.030605018,17.1558725378,121.4433729450464,31.03060499263925,17.15223088414299,-7.353929685308622,7.705996431017384,0.03995410314526282,-7.366527833446105,7.703184677990324,0.03631244948825341,0.01341196125023352,0.012908100682135827,0.7696357355165702,0.012598139063932442,0.002811753073435655,0.003641653657009414,0.012908100682135827,0.01341196125023352,fixed,35.0
120995.631551,3.00116157532,121.443368996,31.0306061811,17.1584547888,121.44336889052184,31.030606194969543,17.152566921032015,-7.743559376910959,7.8349496635650215,0.04253635414526258,-7.753629806390858,7.8364873834824715,0.03664848637727758,0.011766264095601935,0.010187147977435812,0.754753129109693,0.010070422100911155,-0.001537719943180392,0.005887867767985,0.010187147977435812,0.011766264095601935,fixed,35.0
120995.731589,3.10119986534,121.443364835,31.0306072921,17.1625994369,121.44336472327988,31.030607335591263,17.154595364001743,-8.14082699269534,7.958126553591563,0.04668100224526128,-8.151493366854748,7.962948442214763,0.038676929347005284,0.014180520512166723,0.011705638770925104,0.7429537823772696,0.010666366220024415,-0.004821888706275484,0.008004072898255998,0.011705638770925104,0.014180520512166723,float,35.0
120995.831628,3.20123910904,121.443360546,31.0306083463,17.1681495663,121.44336044682125,31.030608398462572,17.158205399142123,-8.550315289600277,8.07500601062509,0.05223113164526083,-8.559784289077243,8.080789290064136,0.04228696448738489,0.014899483160927075,0.011095410672839966,0.779390919022258,0.009468992329037118,-0.005783279542924348,0.009944167157875938,0.011095410672839966,0.014899483160927075,float,35.0
120995.931667,3.30127739906,121.443356133,31.0306093068,17.1694072271,121.44335606573974,31.030609345746893,17.160593772041207,-8.971642372023988,8.181496922420314,0.05348879244526117,-8.978063982825002,8.185814975414475,0.04467533738646878,0.011728580249099216,0.007738385140725884,0.8249483834546822,0.006421605892336385,-0.004318053073981117,0.008813455058792385,0.007738385140725884,0.011728580249099216,float,35.0
120996.031705,3.40131545067,121.443351655,31.0306100687,17.1679333141,121.44335158158073,31.030610136531728,17.160329173531274,-9.399175269515741,8.265968994520748,0.05201487944526306,-9.406184905530207,8.273489517720328,0.044410738876536016,0.0127873432035834,0.010280719450372627,0.8069558031012777,0.007009630598094686,-0.007520523339204844,0.007604140568727047,0.010280719450372627,0.0127873432035834,fixed,36.0
120996.131744,3.50135469437,121.443347098,31.0306107026,17.1680377275,121.4433470067252,31.030610797607206,17.16011895186929,-9.834250617896416,8.336249670661369,0.052119292845262066,-9.84296499428789,8.346783146424167,0.04420051721455209,0.015798777191599202,0.013670930958068253,0.7876948950177465,0.008714369597367488,-0.01053347595909091,0.007918775630709973,0.013670930958068253,0.015798777191599202,fixed,36.0
120996.231783,3.60139393806,121.44334241,31.0306112504,17.1660238672,121.44334234012553,31.030611362610824,17.15884843412375,-10.281833069706302,8.396984414233186,0.05010543254526212,-10.288504270010948,8.409425260329273,0.042929999469013325,0.015835603579202908,0.014116639149809656,0.7678138062494057,0.006671195062780019,-0.012440846326527718,0.007175433076248794,0.014116639149809656,0.015835603579202908,fixed,36.0
120996.331821,3.70143222809,121.443337637,31.030611811,17.1680815304,121.44333760822676,31.030611878857524,17.15984036320352,-10.737530817022423,8.459138297753613,0.05216309574526079,-10.740277917036261,8.466661680774493,0.04392192854878374,0.011491939675717752,0.008009234716878161,0.7519559973586332,0.0027470978409263025,-0.00752338316201059,0.00824116719647705,0.008009234716878161,0.011491939675717752,fixed,36.0
120996.43186,3.80147051811,121.443332823,31.0306122893,17.1674767947,121.4433327961122,31.03061232988378,17.160865377572915,-11.197143003366616,8.512167555745243,0.05155836004526293,-11.199710091001794,8.51666709137691,0.0449469429181768,0.008399201541784763,0.005180323359713346,0.7251767809033541,0.002567085592966269,-0.004499535717113132,0.006611417127086128,0.005180323359713346,0.008399201541784763,fixed,37.0
120996.531899,3.90150976181,121.443327936,31.0306126175,17.1697860304,121.44332789619907,31.0306126697004,17.1619085279837,-11.663724795982418,8.548555184951308,0.05386759574526323,-11.66752475256954,8.554342657854582,0.045990093328963866,0.01048758958022663,0.006923473902924442,0.7120853039555957,0.0037999535512512426,-0.0057874730144346145,0.007877502416299365,0.006923473902924442,0.01048758958022663,fixed,37.0
120996.631937,4.00154781342,121.443322924,31.0306127539,17.1789679229,121.44332291148696,31.0306128583744,17.162056433413635,-12.142240847410116,8.563677891766869,0.06304948824526235,-12.14343551829939,8.5752609988193,0.04613799875889768,0.020532756440654516,0.01164455282111841,0.7391020870332726,0.001194669932497292,-0.01158310727551997,0.016911489486364673,0.01164455282111841,0.020532756440654516,fixed,37.0
120996.731975,4.10158610344,121.443317833,31.0306127725,17.1809840705,121.443317834678,31.030612934061864,17.16107965990674,-12.628299349726735,8.56574007893167,0.06506563584526148,-12.628139145730355,8.583652489587344,0.04516122525200217,0.026778082345640847,0.017913127394312486,0.7146033424886804,-0.00016020386792449978,-0.017912410998120003,0.019904410593259314,0.017913127394312486,0.026778082345640847,fixed,37.0
120996.832015,4.20162534714,121.443312674,31.0306127623,17.18225588,121.44331267714574,31.030612921711732,17.160152737259452,-13.120850091849338,8.564609201917357,0.06633744534526187,-13.120549754601544,8.5822832268969,0.04423430260471406,0.028302125223305163,0.017676576963502152,0.5914227043964304,-0.00030033700697410957,-0.017674025314818827,0.02210314274054781,0.017676576963502152,0.028302125223305163,fixed,37.0
120996.932053,4.30166363716,121.443307448,31.0306126853,17.1842819527,121.44330743751507,31.030612877880884,17.160263228519785,-13.61979759319695,8.556072190323851,0.0683635180452633,-13.620798633141082,8.577423688073942,0.044344793865047194,0.03215256854571865,0.021374951528409094,0.5840739108531195,0.001001039141942642,-0.02135149815535521,0.02401872418021611,0.021374951528409094,0.03215256854571865,fixed,37.0
120997.03209,4.40170073509,121.443302116,31.0306126292,17.1866940921,121.44330209884424,31.03061274970161,17.159832153882437,-14.128865348640678,8.54985236674513,0.07077565744526382,-14.13050327884727,8.563212415121905,0.04391371922769949,0.030045589281076007,0.013460078396609227,0.4197682425159799,0.001637928896111104,-0.013360048629183604,0.02686193821756433,0.013460078396609227,0.030045589281076007,fixed,37.0
